full_date,date_id,year,quarter,month,is_post_covid,date_changed,rate
2002-12-01,200212,2002,4,12,False,2001-11-08,4.0
2003-01-01,200301,2003,1,1,False,2001-11-08,4.0
2003-02-01,200302,2003,1,2,False,2001-11-08,4.0
2003-03-01,200303,2003,1,3,False,2003-02-06,3.75
2003-04-01,200304,2003,2,4,False,2003-02-06,3.75
2003-05-01,200305,2003,2,5,False,2003-02-06,3.75
2003-06-01,200306,2003,2,6,False,2003-02-06,3.75
2003-07-01,200307,2003,3,7,False,2003-02-06,3.75
2003-08-01,200308,2003,3,8,False,2003-07-10,3.5
2003-09-01,200309,2003,3,9,False,2003-07-10,3.5
2003-10-01,200310,2003,4,10,False,2003-07-10,3.5
2003-11-01,200311,2003,4,11,False,2003-07-10,3.5
2003-12-01,200312,2003,4,12,False,2003-11-06,3.75
2004-01-01,200401,2004,1,1,False,2003-11-06,3.75
2004-02-01,200402,2004,1,2,False,2003-11-06,3.75
2004-03-01,200403,2004,1,3,False,2004-02-05,4.0
2004-04-01,200404,2004,2,4,False,2004-02-05,4.0
2004-05-01,200405,2004,2,5,False,2004-02-05,4.0
2004-06-01,200406,2004,2,6,False,2004-05-06,4.25
2004-07-01,200407,2004,3,7,False,2004-06-10,4.5
2004-08-01,200408,2004,3,8,False,2004-06-10,4.5
2004-09-01,200409,2004,3,9,False,2004-08-05,4.75
2004-10-01,200410,2004,4,10,False,2004-08-05,4.75
2004-11-01,200411,2004,4,11,False,2004-08-05,4.75
2004-12-01,200412,2004,4,12,False,2004-08-05,4.75
2005-01-01,200501,2005,1,1,False,2004-08-05,4.75
2005-02-01,200502,2005,1,2,False,2004-08-05,4.75
2005-03-01,200503,2005,1,3,False,2004-08-05,4.75
2005-04-01,200504,2005,2,4,False,2004-08-05,4.75
2005-05-01,200505,2005,2,5,False,2004-08-05,4.75
2005-06-01,200506,2005,2,6,False,2004-08-05,4.75
2005-07-01,200507,2005,3,7,False,2004-08-05,4.75
2005-08-01,200508,2005,3,8,False,2004-08-05,4.75
2005-09-01,200509,2005,3,9,False,2005-08-04,4.5
2005-10-01,200510,2005,4,10,False,2005-08-04,4.5
2005-11-01,200511,2005,4,11,False,2005-08-04,4.5
2005-12-01,200512,2005,4,12,False,2005-08-04,4.5
2006-01-01,200601,2006,1,1,False,2005-08-04,4.5
2006-02-01,200602,2006,1,2,False,2005-08-04,4.5
2006-03-01,200603,2006,1,3,False,2005-08-04,4.5
2006-04-01,200604,2006,2,4,False,2005-08-04,4.5
2006-05-01,200605,2006,2,5,False,2005-08-04,4.5
2006-06-01,200606,2006,2,6,False,2005-08-04,4.5
2006-07-01,200607,2006,3,7,False,2005-08-04,4.5
2006-08-01,200608,2006,3,8,False,2005-08-04,4.5
2006-09-01,200609,2006,3,9,False,2006-08-03,4.75
2006-10-01,200610,2006,4,10,False,2006-08-03,4.75
2006-11-01,200611,2006,4,11,False,2006-08-03,4.75
2006-12-01,200612,2006,4,12,False,2006-11-09,5.0
2007-01-01,200701,2007,1,1,False,2006-11-09,5.0
2007-02-01,200702,2007,1,2,False,2007-01-11,5.25
2007-03-01,200703,2007,1,3,False,2007-01-11,5.25
2007-04-01,200704,2007,2,4,False,2007-01-11,5.25
2007-05-01,200705,2007,2,5,False,2007-01-11,5.25
2007-06-01,200706,2007,2,6,False,2007-05-10,5.5
2007-07-01,200707,2007,3,7,False,2007-05-10,5.5
2007-08-01,200708,2007,3,8,False,2007-07-05,5.75
2007-09-01,200709,2007,3,9,False,2007-07-05,5.75
2007-10-01,200710,2007,4,10,False,2007-07-05,5.75
2007-11-01,200711,2007,4,11,False,2007-07-05,5.75
2007-12-01,200712,2007,4,12,False,2007-07-05,5.75
2008-01-01,200801,2008,1,1,False,2007-12-06,5.5
2008-02-01,200802,2008,1,2,False,2007-12-06,5.5
2008-03-01,200803,2008,1,3,False,2008-02-07,5.25
2008-04-01,200804,2008,2,4,False,2008-02-07,5.25
2008-05-01,200805,2008,2,5,False,2008-04-10,5.0
2008-06-01,200806,2008,2,6,False,2008-04-10,5.0
2008-07-01,200807,2008,3,7,False,2008-04-10,5.0
2008-08-01,200808,2008,3,8,False,2008-04-10,5.0
2008-09-01,200809,2008,3,9,False,2008-04-10,5.0
2008-10-01,200810,2008,4,10,False,2008-04-10,5.0
2008-11-01,200811,2008,4,11,False,2008-10-08,4.5
2008-12-01,200812,2008,4,12,False,2008-11-06,3.0
2009-01-01,200901,2009,1,1,False,2008-12-04,2.0
2009-02-01,200902,2009,1,2,False,2009-01-08,1.5
2009-03-01,200903,2009,1,3,False,2009-02-05,1.0
2009-04-01,200904,2009,2,4,False,2009-03-05,0.5
2009-05-01,200905,2009,2,5,False,2009-03-05,0.5
2009-06-01,200906,2009,2,6,False,2009-03-05,0.5
2009-07-01,200907,2009,3,7,False,2009-03-05,0.5
2009-08-01,200908,2009,3,8,False,2009-03-05,0.5
2009-09-01,200909,2009,3,9,False,2009-03-05,0.5
2009-10-01,200910,2009,4,10,False,2009-03-05,0.5
2009-11-01,200911,2009,4,11,False,2009-03-05,0.5
2009-12-01,200912,2009,4,12,False,2009-03-05,0.5
2010-01-01,201001,2010,1,1,False,2009-03-05,0.5
2010-02-01,201002,2010,1,2,False,2009-03-05,0.5
2010-03-01,201003,2010,1,3,False,2009-03-05,0.5
2010-04-01,201004,2010,2,4,False,2009-03-05,0.5
2010-05-01,201005,2010,2,5,False,2009-03-05,0.5
2010-06-01,201006,2010,2,6,False,2009-03-05,0.5
2010-07-01,201007,2010,3,7,False,2009-03-05,0.5
2010-08-01,201008,2010,3,8,False,2009-03-05,0.5
2010-09-01,201009,2010,3,9,False,2009-03-05,0.5
2010-10-01,201010,2010,4,10,False,2009-03-05,0.5
2010-11-01,201011,2010,4,11,False,2009-03-05,0.5
2010-12-01,201012,2010,4,12,False,2009-03-05,0.5
2011-01-01,201101,2011,1,1,False,2009-03-05,0.5
2011-02-01,201102,2011,1,2,False,2009-03-05,0.5
2011-03-01,201103,2011,1,3,False,2009-03-05,0.5
2011-04-01,201104,2011,2,4,False,2009-03-05,0.5
2011-05-01,201105,2011,2,5,False,2009-03-05,0.5
2011-06-01,201106,2011,2,6,False,2009-03-05,0.5
2011-07-01,201107,2011,3,7,False,2009-03-05,0.5
2011-08-01,201108,2011,3,8,False,2009-03-05,0.5
2011-09-01,201109,2011,3,9,False,2009-03-05,0.5
2011-10-01,201110,2011,4,10,False,2009-03-05,0.5
2011-11-01,201111,2011,4,11,False,2009-03-05,0.5
2011-12-01,201112,2011,4,12,False,2009-03-05,0.5
2012-01-01,201201,2012,1,1,False,2009-03-05,0.5
2012-02-01,201202,2012,1,2,False,2009-03-05,0.5
2012-03-01,201203,2012,1,3,False,2009-03-05,0.5
2012-04-01,201204,2012,2,4,False,2009-03-05,0.5
2012-05-01,201205,2012,2,5,False,2009-03-05,0.5
2012-06-01,201206,2012,2,6,False,2009-03-05,0.5
2012-07-01,201207,2012,3,7,False,2009-03-05,0.5
2012-08-01,201208,2012,3,8,False,2009-03-05,0.5
2012-09-01,201209,2012,3,9,False,2009-03-05,0.5
2012-10-01,201210,2012,4,10,False,2009-03-05,0.5
2012-11-01,201211,2012,4,11,False,2009-03-05,0.5
2012-12-01,201212,2012,4,12,False,2009-03-05,0.5
2013-01-01,201301,2013,1,1,False,2009-03-05,0.5
2013-02-01,201302,2013,1,2,False,2009-03-05,0.5
2013-03-01,201303,2013,1,3,False,2009-03-05,0.5
2013-04-01,201304,2013,2,4,False,2009-03-05,0.5
2013-05-01,201305,2013,2,5,False,2009-03-05,0.5
2013-06-01,201306,2013,2,6,False,2009-03-05,0.5
2013-07-01,201307,2013,3,7,False,2009-03-05,0.5
2013-08-01,201308,2013,3,8,False,2009-03-05,0.5
2013-09-01,201309,2013,3,9,False,2009-03-05,0.5
2013-10-01,201310,2013,4,10,False,2009-03-05,0.5
2013-11-01,201311,2013,4,11,False,2009-03-05,0.5
2013-12-01,201312,2013,4,12,False,2009-03-05,0.5
2014-01-01,201401,2014,1,1,False,2009-03-05,0.5
2014-02-01,201402,2014,1,2,False,2009-03-05,0.5
2014-03-01,201403,2014,1,3,False,2009-03-05,0.5
2014-04-01,201404,2014,2,4,False,2009-03-05,0.5
2014-05-01,201405,2014,2,5,False,2009-03-05,0.5
2014-06-01,201406,2014,2,6,False,2009-03-05,0.5
2014-07-01,201407,2014,3,7,False,2009-03-05,0.5
2014-08-01,201408,2014,3,8,False,2009-03-05,0.5
2014-09-01,201409,2014,3,9,False,2009-03-05,0.5
2014-10-01,201410,2014,4,10,False,2009-03-05,0.5
2014-11-01,201411,2014,4,11,False,2009-03-05,0.5
2014-12-01,201412,2014,4,12,False,2009-03-05,0.5
2015-01-01,201501,2015,1,1,False,2009-03-05,0.5
2015-02-01,201502,2015,1,2,False,2009-03-05,0.5
2015-03-01,201503,2015,1,3,False,2009-03-05,0.5
2015-04-01,201504,2015,2,4,False,2009-03-05,0.5
2015-05-01,201505,2015,2,5,False,2009-03-05,0.5
2015-06-01,201506,2015,2,6,False,2009-03-05,0.5
2015-07-01,201507,2015,3,7,False,2009-03-05,0.5
2015-08-01,201508,2015,3,8,False,2009-03-05,0.5
2015-09-01,201509,2015,3,9,False,2009-03-05,0.5
2015-10-01,201510,2015,4,10,False,2009-03-05,0.5
2015-11-01,201511,2015,4,11,False,2009-03-05,0.5
2015-12-01,201512,2015,4,12,False,2009-03-05,0.5
2016-01-01,201601,2016,1,1,False,2009-03-05,0.5
2016-02-01,201602,2016,1,2,False,2009-03-05,0.5
2016-03-01,201603,2016,1,3,False,2009-03-05,0.5
2016-04-01,201604,2016,2,4,False,2009-03-05,0.5
2016-05-01,201605,2016,2,5,False,2009-03-05,0.5
2016-06-01,201606,2016,2,6,False,2009-03-05,0.5
2016-07-01,201607,2016,3,7,False,2009-03-05,0.5
2016-08-01,201608,2016,3,8,False,2009-03-05,0.5
2016-09-01,201609,2016,3,9,False,2016-08-04,0.25
2016-10-01,201610,2016,4,10,False,2016-08-04,0.25
2016-11-01,201611,2016,4,11,False,2016-08-04,0.25
2016-12-01,201612,2016,4,12,False,2016-08-04,0.25
2017-01-01,201701,2017,1,1,False,2016-08-04,0.25
2017-02-01,201702,2017,1,2,False,2016-08-04,0.25
2017-03-01,201703,2017,1,3,False,2016-08-04,0.25
2017-04-01,201704,2017,2,4,False,2016-08-04,0.25
2017-05-01,201705,2017,2,5,False,2016-08-04,0.25
2017-06-01,201706,2017,2,6,False,2016-08-04,0.25
2017-07-01,201707,2017,3,7,False,2016-08-04,0.25
2017-08-01,201708,2017,3,8,False,2016-08-04,0.25
2017-09-01,201709,2017,3,9,False,2016-08-04,0.25
2017-10-01,201710,2017,4,10,False,2016-08-04,0.25
2017-11-01,201711,2017,4,11,False,2016-08-04,0.25
2017-12-01,201712,2017,4,12,False,2017-11-02,0.5
2018-01-01,201801,2018,1,1,False,2017-11-02,0.5
2018-02-01,201802,2018,1,2,False,2017-11-02,0.5
2018-03-01,201803,2018,1,3,False,2017-11-02,0.5
2018-04-01,201804,2018,2,4,False,2017-11-02,0.5
2018-05-01,201805,2018,2,5,False,2017-11-02,0.5
2018-06-01,201806,2018,2,6,False,2017-11-02,0.5
2018-07-01,201807,2018,3,7,False,2017-11-02,0.5
2018-08-01,201808,2018,3,8,False,2017-11-02,0.5
2018-09-01,201809,2018,3,9,False,2018-08-02,0.75
2018-10-01,201810,2018,4,10,False,2018-08-02,0.75
2018-11-01,201811,2018,4,11,False,2018-08-02,0.75
2018-12-01,201812,2018,4,12,False,2018-08-02,0.75
2019-01-01,201901,2019,1,1,False,2018-08-02,0.75
2019-02-01,201902,2019,1,2,False,2018-08-02,0.75
2019-03-01,201903,2019,1,3,False,2018-08-02,0.75
2019-04-01,201904,2019,2,4,False,2018-08-02,0.75
2019-05-01,201905,2019,2,5,False,2018-08-02,0.75
2019-06-01,201906,2019,2,6,False,2018-08-02,0.75
2019-07-01,201907,2019,3,7,False,2018-08-02,0.75
2019-08-01,201908,2019,3,8,False,2018-08-02,0.75
2019-09-01,201909,2019,3,9,False,2018-08-02,0.75
2019-10-01,201910,2019,4,10,False,2018-08-02,0.75
2019-11-01,201911,2019,4,11,False,2018-08-02,0.75
2019-12-01,201912,2019,4,12,False,2018-08-02,0.75
2020-01-01,202001,2020,1,1,False,2018-08-02,0.75
2020-02-01,202002,2020,1,2,False,2018-08-02,0.75
2020-03-01,202003,2020,1,3,True,2018-08-02,0.75
2020-04-01,202004,2020,2,4,True,2020-03-19,0.1
2020-05-01,202005,2020,2,5,True,2020-03-19,0.1
2020-06-01,202006,2020,2,6,True,2020-03-19,0.1
2020-07-01,202007,2020,3,7,True,2020-03-19,0.1
2020-08-01,202008,2020,3,8,True,2020-03-19,0.1
2020-09-01,202009,2020,3,9,True,2020-03-19,0.1
2020-10-01,202010,2020,4,10,True,2020-03-19,0.1
2020-11-01,202011,2020,4,11,True,2020-03-19,0.1
2020-12-01,202012,2020,4,12,True,2020-03-19,0.1
2021-01-01,202101,2021,1,1,True,2020-03-19,0.1
2021-02-01,202102,2021,1,2,True,2020-03-19,0.1
2021-03-01,202103,2021,1,3,True,2020-03-19,0.1
2021-04-01,202104,2021,2,4,True,2020-03-19,0.1
2021-05-01,202105,2021,2,5,True,2020-03-19,0.1
2021-06-01,202106,2021,2,6,True,2020-03-19,0.1
2021-07-01,202107,2021,3,7,True,2020-03-19,0.1
2021-08-01,202108,2021,3,8,True,2020-03-19,0.1
2021-09-01,202109,2021,3,9,True,2020-03-19,0.1
2021-10-01,202110,2021,4,10,True,2020-03-19,0.1
2021-11-01,202111,2021,4,11,True,2020-03-19,0.1
2021-12-01,202112,2021,4,12,True,2020-03-19,0.1
2022-01-01,202201,2022,1,1,True,2021-12-16,0.25
2022-02-01,202202,2022,1,2,True,2021-12-16,0.25
2022-03-01,202203,2022,1,3,True,2022-02-03,0.5
2022-04-01,202204,2022,2,4,True,2022-03-17,0.75
2022-05-01,202205,2022,2,5,True,2022-03-17,0.75
2022-06-01,202206,2022,2,6,True,2022-05-05,1.0
2022-07-01,202207,2022,3,7,True,2022-06-16,1.25
2022-08-01,202208,2022,3,8,True,2022-06-16,1.25
2022-09-01,202209,2022,3,9,True,2022-08-04,1.75
2022-10-01,202210,2022,4,10,True,2022-09-22,2.25
2022-11-01,202211,2022,4,11,True,2022-09-22,2.25
2022-12-01,202212,2022,4,12,True,2022-11-03,3.0
2023-01-01,202301,2023,1,1,True,2022-12-15,3.5
2023-02-01,202302,2023,1,2,True,2022-12-15,3.5
2023-03-01,202303,2023,1,3,True,2023-02-02,4.0
2023-04-01,202304,2023,2,4,True,2023-03-23,4.25
2023-05-01,202305,2023,2,5,True,2023-03-23,4.25
2023-06-01,202306,2023,2,6,True,2023-05-11,4.5
2023-07-01,202307,2023,3,7,True,2023-06-22,5.0
2023-08-01,202308,2023,3,8,True,2023-06-22,5.0
2023-09-01,202309,2023,3,9,True,2023-08-03,5.25
2023-10-01,202310,2023,4,10,True,2023-08-03,5.25
2023-11-01,202311,2023,4,11,True,2023-08-03,5.25
2023-12-01,202312,2023,4,12,True,2023-08-03,5.25
2024-01-01,202401,2024,1,1,True,2023-08-03,5.25
2024-02-01,202402,2024,1,2,True,2023-08-03,5.25
2024-03-01,202403,2024,1,3,True,2023-08-03,5.25
2024-04-01,202404,2024,2,4,True,2023-08-03,5.25
2024-05-01,202405,2024,2,5,True,2023-08-03,5.25
2024-06-01,202406,2024,2,6,True,2023-08-03,5.25
2024-07-01,202407,2024,3,7,True,2023-08-03,5.25
2024-08-01,202408,2024,3,8,True,2024-08-01,5.0
2024-09-01,202409,2024,3,9,True,2024-08-01,5.0
2024-10-01,202410,2024,4,10,True,2024-08-01,5.0
2024-11-01,202411,2024,4,11,True,2024-08-01,5.0
2024-12-01,202412,2024,4,12,True,2024-11-07,4.75
2025-01-01,202501,2025,1,1,True,2024-11-07,4.75
2025-02-01,202502,2025,1,2,True,2024-11-07,4.75
2025-03-01,202503,2025,1,3,True,2025-02-06,4.5
2025-04-01,202504,2025,2,4,True,2025-02-06,4.5
2025-05-01,202505,2025,2,5,True,2025-02-06,4.5
2025-06-01,202506,2025,2,6,True,2025-05-08,4.25
2025-07-01,202507,2025,3,7,True,2025-05-08,4.25
2025-08-01,202508,2025,3,8,True,2025-05-08,4.25
2025-09-01,202509,2025,3,9,True,2025-08-07,4.0
2025-10-01,202510,2025,4,10,True,2025-08-07,4.0
2025-11-01,202511,2025,4,11,True,2025-08-07,4.0
2025-12-01,202512,2025,4,12,True,2025-08-07,4.0
2026-01-01,202601,2026,1,1,True,2025-12-18,3.75
2026-02-01,202602,2026,1,2,True,2025-12-18,3.75
2026-03-01,202603,2026,1,3,True,2025-12-18,3.75
2026-04-01,202604,2026,2,4,True,2025-12-18,3.75
